17,9947654,9947861,9947654,9947654,9947447,9947654,9947654,15907825,15907825,15907830,15907825,15907825,15907820,15907825,-142812,-142812,-142812,-139899,-142812,-142812,-145725,9947654,15907825,-142812,
18,9947086,9947293,9947086,9947086,9946879,9947086,9947086,15920211,15920211,15920216,15920211,15920211,15920206,15920211,-177816,-177816,-177816,-174903,-177816,-177816,-180729,9947086,15920211,-177816,
19,9946517,9946724,9946517,9946517,9946310,9946517,9946517,15923664,15923664,15923669,15923664,15923664,15923659,15923664,-212694,-212694,-212694,-209781,-212694,-212694,-215607,9946517,15923664,-212694,
20,9945948,9946155,9945948,9945948,9945741,9945948,9945948,15906598,15906598,15906603,15906598,15906598,15906593,15906598,-247393,-247393,-247393,-244480,-247393,-247393,-250306,9945948,15906598,-247393,
21,9945381,9945588,9945381,9945381,9945174,9945381,9945381,15865780,15865780,15865785,15865780,15865780,15865775,15865780,-281860,-281860,-281860,-278947,-281860,-281860,-284773,9945381,15865780,-281860,
22,9944815,9945022,9944815,9944815,9944608,9944815,9944815,15836370,15836370,15836375,15836370,15836370,15836365,15836370,-316150,-316150,-316150,-313237,-316150,-316150,-319063,9944815,15836370,-316150,
23,9944248,9944455,9944248,9944248,9944041,9944248,9944248,15846199,15846199,15846204,15846199,15846199,15846194,15846199,-350373,-350373,-350373,-347460,-350373,-350373,-353286,9944248,15846199,-350373,
24,9943681,9943888,9943681,9943681,9943474,9943681,9943681,15830910,15830910,15830915,15830910,15830910,15830905,15830910,-384420,-384420,-384420,-381507,-384420,-384420,-387333,9943681,15830910,-384420,
25,9943115,9943322,9943115,9943115,9942908,9943115,9943115,15808618,15808618,15808623,15808618,15808618,15808613,15808618,-418294,-418294,-418294,-415381,-418294,-418294,-421207,9943115,15808618,-418294,
26,9942551,9942758,9942551,9942551,9942344,9942551,9942551,15766343,15766343,15766348,15766343,15766343,15766338,15766343,-451940,-451940,-451940,-449027,-451940,-451940,-454853,9942551,15766343,-451940,
27,9941985,9942192,9941985,9941985,9941778,9941985,9941985,15772586,15772586,15772591,15772586,15772586,15772581,15772586,-485522,-485522,-485522,-482609,-485522,-485522,-488435,9941985,15772586,-485522,
28,9941421,9941628,9941421,9941421,9941214,9941421,9941421,15756297,15756297,15756302,15756297,15756297,15756292,15756297,-518932,-518932,-518932,-516019,-518932,-518932,-521845,9941421,15756297,-518932,
29,9940857,9941064,9940857,9940857,9940650,9940857,9940857,15733726,15733726,15733731,15733726,15733726,15733721,15733726,-552171,-552171,-552171,-549258,-552171,-552171,-555084,9940857,15733726,-552171,
30,9940293,9940500,9940293,9940293,9940086,9940293,9940293,15727433,15727433,15727437,15727433,15727433,15727428,15727433,-585294,-585294,-585294,-582381,-585294,-585294,-588207,9940293,15726933,-585294,
