-169,-84,-169,-187,-253,-169,-151
624,709,624,606,538,624,642
-683,-597,-682,-701,-768,-683,-665
564,650,564,546,478,565,582
-343,-258,-344,-361,-429,-343,-325
492,575,492,474,409,492,510
64,150,64,46,-20,64,82
-733,-647,-732,-751,-820,-734,-715
-341,-255,-341,-360,-427,-341,-323
-524,-437,-523,-542,-609,-524,-505
-56,30,-56,-74,-143,-55,-38
-103,-17,-103,-122,-189,-103,-85
-298,-214,-298,-316,-382,-298,-280
-389,-303,-390,-407,-475,-389,-371
141,228,141,123,55,141,159
185,272,185,167,99,186,204
577,664,577,559,491,578,596
101,186,101,83,16,102,119
-336,-250,-336,-354,-422,-335,-318
939,1026,939,921,853,940,957
939,1026,939,921,853,940,957
134,221,134,116,48,134,153
-885,-798,-885,-903,-972,-885,-867
873,959,873,855,786,874,891
81,167,80,62,-5,81,99
521,608,521,503,435,521,539
-171,-85,-171,-189,-257,-171,-153
910,996,910,892,823,910,928
269,355,268,251,183,269,287
149,236,149,131,62,149,167
53,140,53,35,-32,54,72
469,552,469,451,385,469,487
-345,-260,-345,-363,-429,-345,-327
-146,-60,-146,-164,-231,-145,-128
-21,65,-21,-39,-107,-20,-3
137,220,137,119,54,137,155
202,288,202,184,116,202,220
340,421,339,322,259,340,358
-381,-296,-381,-399,-465,-380,-363
-200,-114,-200,-218,-286,-200,-182
-1366,-1280,-1366,-1384,-1452,-1366,-1348
211,294,211,193,129,211,229
-496,-411,-496,-514,-580,-496,-478
-860,-774,-860,-878,-945,-859,-842
553,640,553,535,467,553,571
390,476,390,372,304,390,408
-474,-389,-474,-493,-560,-474,-456
396,482,396,378,310,395,414
15,100,15,-2,-70,15,33
154,241,154,136,68,154,173
391,478,391,373,304,391,409
-253,-166,-253,-271,-339,-252,-235
692,779,692,674,606,692,710
334,421,334,316,247,334,352
-49,36,-49,-67,-133,-49,-30
1165,1251,1164,1147,1079,1165,1183
598,684,597,580,512,598,616
185,272,186,167,99,185,204
498,585,498,480,411,499,516
-15,70,-15,-33,-101,-14,2
234,321,233,216,147,234,252
1044,1131,1043,1025,956,1044,1062
731,818,730,713,643,731,749
-115,-30,-115,-133,-201,-115,-97
-100,-13,-100,-118,-186,-99,-82
130,216,130,112,44,130,148
253,339,253,235,165,253,271
58,146,58,40,-28,59,77
517,604,517,499,431,517,535
496,582,495,478,410,496,514
-356,-269,-356,-374,-443,-356,-338
629,716,629,611,542,629,647
-777,-689,-776,-795,-863,-777,-758
-402,-317,-402,-420,-488,-402,-384
-131,-46,-131,-149,-217,-131,-113
752,839,753,734,665,752,771
-158,-71,-158,-176,-245,-158,-140
-379,-292,-379,-397,-466,-378,-361
374,457,374,356,290,374,392
508,594,508,490,422,508,526
523,609,523,505,437,522,541
-612,-525,-612,-630,-699,-612,-594
-292,-205,-293,-310,-380,-292,-274
543,629,543,525,458,543,561
697,782,696,679,611,697,715
-61,22,-62,-79,-145,-61,-43
98,183,97,80,12,98,116
533,619,533,515,446,533,551
-800,-714,-801,-818,-888,-800,-782
-144,-56,-144,-162,-231,-143,-126
-323,-236,-323,-341,-410,-323,-305
-323,-236,-323,-341,-410,-323,-305
952,1040,952,934,865,952,970
-839,-756,-839,-858,-923,-839,-821
1115,1201,1115,1097,1029,1115,1133
-18,66,-18,-36,-103,-18,0
-585,-499,-585,-603,-671,-585,-567
-982,-896,-982,-1000,-1068,-982,-964
194,280,193,176,108,194,212
-700,-616,-700,-718,-783,-699,-682
182,265,182,164,99,182,200
