987116,1526350,-408937,1321,-50,4,-50,-1,1,4,1,284683
986996,1525751,-411504,1390,4,-6,4,0,14,-6,14,284673
987066,1526880,-413942,1370,-98,-27,-98,-197,-51,-27,-51,284663
986875,1526786,-416383,1380,-123,7,-123,-350,44,7,44,284672
986753,1525796,-418812,1405,-52,9,-52,-72,35,9,35,284669
986624,1526406,-421311,1417,-23,0,-23,-45,-5,0,-5,284678
986708,1525566,-423792,1378,63,15,63,-81,-21,15,-21,284679
986701,1524151,-426160,1405,3,-6,3,17,-12,-6,-12,284669
986879,1523405,-428503,1286,-22,-57,-22,9,-10,-57,-10,284655
986888,1523223,-430896,1369,-53,-22,-53,-129,-15,-22,-15,284678
986750,1525324,-433321,1401,5,-11,5,4,6,-11,6,284683
986756,1526644,-435719,1409,-54,-2,-54,-264,4,-2,4,284678
986686,1525737,-438116,1422,-8,0,-8,-63,-1,0,-1,284683
986521,1526844,-440417,1413,40,16,40,-120,-53,16,-53,284655
986571,1525732,-442862,1388,89,25,89,-177,-58,25,-58,284661
986520,1525225,-445112,1417,17,7,17,-71,44,7,44,284652
986193,1526370,-447565,1292,51,-51,51,-1,26,-51,26,284653
986193,1526370,-447565,1292,51,-51,51,-1,26,-51,26,284653
986389,1525926,-449895,1263,-87,-29,-87,-60,-5,-29,-5,284671
986196,1524270,-452169,1354,-24,5,-24,14,5,5,5,284676
985958,1524479,-454490,1348,-37,4,-37,-5,3,4,3,284675
986130,1524527,-456829,1302,95,16,95,-86,-13,16,-13,284682
986135,1524891,-459087,1375,-9,0,-9,-23,-8,0,-8,284684
986019,1526148,-461355,1408,-3,3,-3,19,-1,3,-1,284682
986028,1524481,-463621,1411,-2,-2,-2,11,-1,-2,-1,284682
986018,1524271,-465907,1416,47,1,47,-338,-16,1,-16,284683
985833,1524346,-468225,1398,-45,-15,-45,-65,-35,-15,-35,284674
985764,1524412,-470503,1419,0,-3,0,-151,-11,-3,-11,284681
985580,1523613,-472783,1398,26,-8,26,0,5,-8,5,284682
985284,1523342,-475028,1328,106,-11,106,-108,11,-11,11,284682
985060,1523880,-477378,1350,-44,-46,-44,-55,-53,-46,-53,284646
984995,1523386,-479587,1404,-11,-14,-11,8,-13,-14,-13,284673
984802,1524210,-481657,1382,19,33,19,-1,-23,33,-23,284644
984925,1524315,-483916,1329,120,21,120,-155,-19,21,-19,284669
984911,1522280,-486118,1392,21,6,21,27,-1,6,-1,284676
984810,1523600,-488270,1415,6,3,6,4,-2,3,-2,284683
984607,1522941,-490480,1388,-6,-13,-6,36,-5,-13,-5,284678
984487,1523045,-492520,1408,47,15,47,-249,-105,15,-105,284642
984368,1519481,-494520,1417,26,20,26,-29,-71,20,-71,284625
984117,1519513,-496656,1358,-103,6,-103,-147,-10,6,-10,284664
984196,1519611,-498805,1354,59,9,59,-68,-12,9,-12,284683
984006,1518606,-500985,1375,2,-9,2,14,-5,-9,-5,284705
984064,1518077,-502944,1381,20,-51,20,6,23,-51,23,284623
984067,1516850,-505212,1400,-38,23,-38,-110,114,23,114,284568
984009,1516912,-507266,1420,-1,6,-1,-150,45,6,45,284654
983755,1516939,-509264,1346,-120,39,-120,-154,64,39,64,284661
983775,1515966,-511191,1388,-5,-17,-5,13,36,-17,36,284610
983629,1516583,-513168,1399,-7,17,-7,16,19,17,19,284640
983527,1516928,-515239,1418,-11,2,-11,-19,-6,2,-6,284679
983339,1517324,-517348,1396,57,-18,57,-86,34,-18,34,284681
983212,1516284,-519377,1408,18,-3,18,11,4,-3,4,284679
983153,1515861,-521336,1422,-2,-2,-2,-107,-43,-2,-43,284676
983101,1516649,-523380,1425,-5,1,-5,9,-1,1,-1,284677
983085,1518280,-525488,1422,-8,13,-8,-3,20,13,20,284646
982969,1518793,-527732,1424,-28,-17,-28,-247,-206,-17,-206,284508
982655,1518033,-529767,1306,-114,-40,-114,-60,-61,-40,-61,284631
982672,1517818,-531669,1377,-34,-23,-34,7,-24,-23,-24,284667
982496,1517616,-533604,1390,-30,11,-30,-8,10,11,10,284673
