1357,34,-2,34,-5,-1,-2,-1,284666,3854,-57,-11833,447207
1332,-44,-8,-44,-22,-5,-8,-5,284674,3928,160,-11778,447207
1273,-310,-10,-310,-711,-20,-10,-20,284683,3095,-1347,-11850,447206
1330,-32,-31,-32,79,6,-31,6,284660,3617,-506,-11831,447207
1370,-11,-18,-11,15,-1,-18,-1,284672,3930,-3,-11825,447207
1410,-2,-4,-2,-247,22,-4,22,284682,3875,-573,-11768,447207
1397,66,12,66,-142,-32,12,-32,284677,4031,-276,-11851,447207
1342,64,0,64,-14,-1,0,-1,284677,3367,417,-11784,447206
1402,9,0,9,-19,-10,0,-10,284680,3858,-396,-11959,447206
1407,57,5,57,-221,-29,5,-29,284674,3699,911,-11676,447207
1356,-76,-6,-76,-63,-14,-6,-14,284683,3684,-110,-11793,447207
1127,-236,-16,-236,-152,-16,-16,-16,284684,4727,832,-11730,447205
1292,25,6,25,-60,-19,6,-19,284681,3062,62,-11757,447206
1320,-91,0,-91,-118,-5,0,-5,284676,3643,10,-11763,447207
1327,-18,17,-18,21,0,17,0,284679,3098,-173,-11630,447206
1398,0,4,0,-112,40,4,40,284662,3804,749,-11995,447206
1406,-47,14,-47,-143,53,14,53,284656,3926,-12,-11777,447207
1419,9,3,9,-88,16,3,16,284663,3952,-56,-11737,447207
1395,26,39,26,3,-32,39,-32,284625,4088,-104,-11965,447207
1383,-9,27,-9,11,-2,27,-2,284658,4301,174,-11846,447206
1378,40,5,40,-36,1,5,1,284675,4354,-551,-11683,447206
1412,22,0,22,-429,32,0,32,284681,3927,-25,-11762,447207
1423,6,2,6,7,-10,2,-10,284672,4022,-360,-11923,447207
1416,3,0,3,9,-1,0,-1,284680,3975,5,-11786,447207
1389,-82,16,-82,-179,39,16,39,284675,3518,-964,-11594,447206
1414,-21,9,-21,5,19,9,19,284661,3778,-604,-11463,447206
1387,99,14,99,-277,-28,14,-28,284666,4136,-599,-11823,447207
1406,17,-13,17,37,-4,-13,-4,284650,4300,154,-11179,447205
1378,-65,3,-65,-96,10,3,10,284674,3271,-989,-11716,447205
1413,-10,0,-10,26,16,0,16,284667,3913,-200,-11715,447207
1361,96,26,96,-114,-36,26,-36,284667,4133,-384,-11890,447207
1335,22,25,22,22,-7,25,-7,284674,3138,185,-11566,447206
1322,-157,-46,-157,-314,-110,-46,-110,284648,2260,-2950,-12712,447201
1215,-147,0,-147,-12,-16,0,-16,284670,3082,-443,-11906,447206
1365,-24,0,-24,-65,4,0,4,284676,3638,318,-11841,447206
1407,-3,4,-3,17,0,4,0,284678,3975,-45,-11872,447207
1404,-39,-10,-39,-70,-23,-10,-23,284676,3921,-71,-11800,447207
1292,-136,-49,-136,-104,-49,-49,-49,284660,3520,-300,-11913,447207
1299,-74,28,-74,-6,18,28,18,284653,3411,-318,-11810,447207
1381,18,8,18,-83,4,8,4,284678,3393,1037,-11717,447204
1321,-50,4,-50,-1,1,4,1,284683,3334,-200,-11758,447206
1390,4,-6,4,0,14,-6,14,284673,3949,-351,-11568,447206
1370,-98,-27,-98,-197,-51,-27,-51,284663,3368,-1083,-12078,447206
1380,-123,7,-123,-350,44,7,44,284672,3816,-264,-11852,447207
1405,-52,9,-52,-72,35,9,35,284669,4214,864,-12033,447205
1417,-23,0,-23,-45,-5,0,-5,284678,3851,-528,-11841,447207
1378,63,15,63,-81,-21,15,-21,284679,4150,-375,-11876,447207
1405,3,-6,3,17,-12,-6,-12,284669,4062,261,-11501,447207
1286,-22,-57,-22,9,-10,-57,-10,284655,2679,-149,-12244,447205
1369,-53,-22,-53,-129,-15,-22,-15,284678,4069,955,-11855,447206
1401,5,-11,5,4,6,-11,6,284683,4185,-496,-11689,447205
1409,-54,-2,-54,-264,4,-2,4,284678,3881,-251,-11833,447207
1422,-8,0,-8,-63,-1,0,-1,284683,3982,336,-11788,447207
1413,40,16,40,-120,-53,16,-53,284655,3829,396,-11524,447207
1388,89,25,89,-177,-58,25,-58,284661,3881,187,-11707,447207
1417,17,7,17,-71,44,7,44,284652,3972,-740,-11218,447206
1292,51,-51,51,-1,26,-51,26,284653,2987,318,-12099,447206
1292,51,-51,51,-1,26,-51,26,284653,2987,318,-12099,447206
1263,-87,-29,-87,-60,-5,-29,-5,284671,3961,343,-11886,447206
1354,-24,5,-24,14,5,5,5,284676,3824,-98,-11968,447207
1348,-37,4,-37,-5,3,4,3,284675,3581,-180,-11769,447207
1302,95,16,95,-86,-13,16,-13,284682,3121,510,-11695,447206
1375,-9,0,-9,-23,-8,0,-8,284684,3906,386,-11719,447207
1408,-3,3,-3,19,-1,3,-1,284682,3973,-45,-11834,447207
1411,-2,-2,-2,11,-1,-2,-1,284682,3975,4,-11785,447207
1416,47,1,47,-338,-16,1,-16,284683,4086,-859,-11834,447207
1398,-45,-15,-45,-65,-35,-15,-35,284674,4576,1372,-11450,447205
1419,0,-3,0,-151,-11,-3,-11,284681,3916,1110,-11783,447206
1398,26,-8,26,0,5,-8,5,284682,3923,16,-11815,447207
1328,106,-11,106,-108,11,-11,11,284682,3623,258,-11834,447207
1350,-44,-46,-44,-55,-53,-46,-53,284646,4198,722,-11447,447206
1404,-11,-14,-11,8,-13,-14,-13,284673,3897,-19,-11897,447207
1382,19,33,19,-1,-23,33,-23,284644,3920,-17,-11827,447207
1329,120,21,120,-155,-19,21,-19,284669,3583,348,-11638,447207
1392,21,6,21,27,-1,6,-1,284676,3960,145,-11737,447207
1415,6,3,6,4,-2,3,-2,284683,3950,14,-11780,447207
1388,-6,-13,-6,36,-5,-13,-5,284678,3647,-174,-11889,447207
1408,47,15,47,-249,-105,15,-105,284642,3688,1326,-11293,447206
1417,26,20,26,-29,-71,20,-71,284625,3784,688,-11218,447206
1358,-103,6,-103,-147,-10,6,-10,284664,4601,1114,-11729,447206
1354,59,9,59,-68,-12,9,-12,284683,4029,-547,-11799,447207
1375,2,-9,2,14,-5,-9,-5,284705,3877,98,-11750,447207
1381,20,-51,20,6,23,-51,23,284623,3810,-3,-11892,447207
1400,-38,23,-38,-110,114,23,114,284568,4009,327,-12212,447207
1420,-1,6,-1,-150,45,6,45,284654,3944,637,-11841,447207
1346,-120,39,-120,-154,64,39,64,284661,4893,1467,-12245,447205
1388,-5,-17,-5,13,36,-17,36,284610,4116,-415,-11186,447206
1399,-7,17,-7,16,19,17,19,284640,3780,-81,-11663,447207
1418,-11,2,-11,-19,-6,2,-6,284679,3989,99,-11691,447207
1396,57,-18,57,-86,34,-18,34,284681,3571,746,-12037,447206
1408,18,-3,18,11,4,-3,4,284679,3920,117,-11834,447207
1422,-2,-2,-2,-107,-43,-2,-43,284676,4025,955,-11452,447206
1425,-5,1,-5,9,-1,1,-1,284677,3871,-407,-11616,447205
1422,-8,13,-8,-3,20,13,20,284646,3697,-505,-11039,447204
1424,-28,-17,-28,-247,-206,-17,-206,284508,4095,983,-10957,447207
1306,-114,-40,-114,-60,-61,-40,-61,284631,3437,-384,-11937,447207
1377,-34,-23,-34,7,-24,-23,-24,284667,3711,-218,-11970,447207
1390,-30,11,-30,-8,10,11,10,284673,4339,348,-12159,447206
1396,-25,-16,-25,-10,-18,-16,-18,284677,3469,-501,-12213,447205
1417,16,5,16,-142,-79,5,-79,284646,4162,-1602,-12617,447204
1424,-6,2,-6,-118,1,2,1,284670,3961,-787,-11689,447206
1351,50,-66,50,-15,46,-66,46,284618,3184,474,-12389,447206
1282,-89,99,-89,-63,101,99,101,284572,3388,-183,-11672,447206
1313,-122,-73,-122,-139,-133,-73,-133,284513,4388,913,-10483,447205
1205,-15,-139,-15,24,-18,-139,-18,284576,1244,-126,-13326,447201
1359,-3,-35,-3,11,0,-35,0,284624,3560,-52,-12013,447207
1398,-29,-27,-29,-79,-51,-27,-51,284629,4210,983,-11339,447205
1273,-88,13,-88,-29,5,13,5,284665,2840,-556,-11726,447205
1344,43,-2,43,-76,11,-2,11,284674,3586,16,-11770,447207
1364,6,-96,6,32,-9,-96,-9,284464,3291,-32,-13057,447206
1376,-24,-48,-24,-7,-16,-48,-16,284614,4391,427,-11762,447206
1395,-47,-15,-47,-91,-5,-15,-5,284652,4149,525,-11905,447207
1380,-127,-20,-127,-350,-49,-20,-49,284652,4056,397,-11788,447207
1291,46,-48,46,8,14,-48,14,284662,2970,230,-12109,447206
1385,-23,-24,-23,-255,-104,-24,-104,284631,3699,-243,-12113,447207
1413,6,-3,6,2,-29,-3,-29,284664,3822,500,-11495,447206
1406,-10,-13,-10,21,-18,-13,-18,284687,4204,231,-11660,447207
1407,3,6,3,9,-6,6,-6,284672,3644,109,-11584,447206
1420,-17,4,-17,-259,24,4,24,284674,3990,103,-11780,447207
1393,-43,-6,-43,-17,-5,-6,-5,284673,4096,134,-11747,447207
1345,-203,3,-203,-493,7,3,7,284694,3604,-758,-11787,447207
1403,-33,2,-33,55,6,2,6,284659,3861,-346,-11719,447207
1414,10,-10,10,-26,30,-10,30,284672,3933,44,-11850,447207
1407,14,-9,14,3,9,-9,9,284665,4062,-33,-11789,447207
1422,-6,5,-6,-211,195,5,195,284521,3962,-660,-11194,447207
1378,-98,41,-98,-162,108,41,108,284611,3962,-9,-11778,447207
1384,-91,49,-91,-167,112,49,112,284616,4209,597,-12039,447207
1415,-14,13,-14,22,34,13,34,284572,3956,-280,-10808,447206
1415,-14,13,-14,22,34,13,34,284572,3956,-280,-10808,447206
1405,47,3,47,-120,5,3,5,284656,4133,-401,-11756,447207
1421,6,1,6,-67,8,1,8,284675,4016,974,-11825,447206
1413,-42,13,-42,-130,45,13,45,284679,4357,1207,-12151,447205
1390,-13,-30,-13,22,0,-30,0,284662,3814,-132,-11914,447207
1415,15,-10,15,-140,15,-10,15,284673,4023,-660,-11811,447207
1394,-9,17,-9,17,10,17,10,284679,3858,-10,-11752,447207
1413,-25,-8,-25,-123,-70,-8,-70,284657,3732,-1190,-12370,447205
1413,19,-25,19,-30,40,-25,40,284636,3884,159,-12008,447207
1416,33,13,33,-105,-76,13,-76,284617,3953,186,-11746,447207
1425,2,3,2,-35,-8,3,-8,284657,3998,22,-11748,447207
1321,156,10,156,-208,-15,10,-15,284674,3263,859,-11724,447206
1338,-15,3,-15,4,-1,3,-1,284675,3495,52,-11759,447207
1390,33,-4,33,-113,21,-4,21,284688,3759,272,-11830,447207
1416,30,2,30,-511,-64,2,-64,284684,3992,-483,-11866,447207
1290,55,33,55,35,-22,33,-22,284691,3794,52,-11757,447207
1384,9,4,9,12,-2,4,-2,284669,3746,98,-11765,447207
1214,-65,-6,-65,-3,-1,-6,-1,284692,3020,-237,-11814,447206
1349,34,1,34,-111,-20,1,-20,284693,3376,521,-11716,447206
1394,2,3,2,20,0,3,0,284695,3773,18,-11765,447207
1405,-11,-4,-11,14,-5,-4,-5,284672,3422,-571,-12019,447203
1287,96,40,96,-57,-30,40,-30,284663,4044,-189,-11876,447207
1326,5,22,5,16,-1,22,-1,284680,4079,204,-11742,447206
1378,15,-5,15,0,9,-5,9,284684,3393,337,-12009,447205
1407,-36,7,-36,-258,62,7,62,284670,3801,-883,-11603,447207
1398,70,21,70,-201,-48,21,-48,284682,3760,540,-11624,447207
1384,13,23,13,30,-9,23,-9,284669,3582,137,-11555,447207
1391,-49,-31,-49,-94,-82,-31,-82,284632,3657,-499,-12116,447207
1368,-69,18,-69,-57,22,18,22,284645,3885,-81,-11872,447207
1404,-13,-12,-13,30,3,-12,3,284615,3992,-128,-11565,447207
1415,-8,-3,-8,7,1,-3,1,284658,4084,76,-11820,447207
1410,3,-27,3,8,10,-27,10,284647,4145,-82,-11561,447207
1414,81,-8,81,-713,6,-8,6,284679,4253,-2426,-11850,447206
1411,53,2,53,-62,-15,2,-15,284690,4195,-519,-11894,447207
1359,88,4,88,-77,-10,4,-10,284697,3959,30,-11788,447207
1398,44,-23,44,-79,77,-23,77,284632,4293,-1130,-10769,447204
1382,78,3,78,-113,-9,3,-9,284678,4360,-754,-11984,447206
1414,8,0,8,-1,-16,0,-16,284665,3962,206,-11719,447207
1421,14,-4,14,-41,13,-4,13,284675,4092,-335,-11669,447207
1387,91,-62,91,-184,140,-62,140,284598,3984,-2,-11789,447207
1417,13,-18,13,-46,-3,-18,-3,284666,3970,-63,-12041,447207
1425,1,-3,1,9,13,-3,13,284653,3989,-236,-11118,447205
1416,56,-25,56,-273,124,-25,124,284632,4351,-1673,-11146,447206
1363,69,-25,69,-18,38,-25,38,284669,4121,-73,-11805,447207
1404,-53,-19,-53,-643,-101,-19,-101,284680,3902,-145,-11914,447207
1403,19,11,19,51,-35,11,-35,284681,4019,-140,-11902,447207
1418,0,4,0,10,0,4,0,284701,4041,125,-11804,447207
1420,43,-5,43,-372,56,-5,56,284666,4010,116,-11796,447207
1397,8,20,8,49,6,20,6,284680,3702,60,-11592,447207
1395,-68,-12,-68,-167,-40,-12,-40,284685,4185,693,-11571,447207
1414,3,-4,3,-31,-4,-4,-4,284695,4032,-388,-11809,447207
1413,-21,5,-21,-30,14,5,14,284687,4207,412,-11945,447207
1418,8,23,8,1,-31,23,-31,284625,3772,320,-11031,447206
1364,27,-39,27,28,9,-39,9,284638,3808,202,-11824,447207
