1802,-123,-5300,447207
1506,186,-5270,447206
1725,-177,-5348,447206
1654,407,-5222,447207
1647,-49,-5274,447207
2114,372,-5245,447205
1369,27,-5258,447206
1629,4,-5260,447207
1385,-77,-5201,447206
1701,335,-5364,447206
1756,-5,-5267,447207
1767,-25,-5249,447207
1828,-46,-5351,447207
1923,77,-5298,447206
1947,-246,-5224,447206
1756,-11,-5260,447207
1799,-161,-5332,447207
1777,2,-5270,447207
1573,-431,-5185,447206
1689,-270,-5126,447206
1849,-268,-5287,447207
1923,68,-4999,447205
1463,-442,-5239,447205
1750,-89,-5239,447207
1848,-172,-5317,447207
1403,82,-5172,447206
1010,-1319,-5684,447201
1378,-198,-5324,447206
1627,142,-5295,447206
1777,-20,-5309,447207
1753,-31,-5277,447207
1574,-134,-5327,447207
1525,-142,-5281,447207
1517,464,-5240,447204
1491,-89,-5258,447206
1766,-157,-5173,447206
1506,-484,-5401,447206
1706,-118,-5300,447207
1884,386,-5381,447205
1722,-236,-5295,447207
1856,-167,-5311,447207
1816,117,-5143,447207
1198,-66,-5475,447205
1820,427,-5301,447206
1871,-221,-5227,447205
1735,-112,-5291,447207
1781,150,-5271,447207
1712,177,-5153,447207
1735,84,-5235,447207
1776,-331,-5016,447206
1335,142,-5411,447206
1335,142,-5411,447206
1771,153,-5315,447206
1710,-44,-5352,447207
1601,-80,-5263,447207
1395,228,-5230,447206
1746,173,-5240,447207
1776,-20,-5292,447207
1778,2,-5270,447207
1827,-384,-5292,447207
2046,613,-5120,447205
1751,496,-5269,447206
1754,7,-5283,447207
1620,115,-5292,447207
1877,322,-5119,447206
1742,-8,-5320,447207
1753,-7,-5289,447207
1602,155,-5204,447207
1771,65,-5249,447207
1766,6,-5268,447207
1631,-78,-5316,447207
1649,593,-5050,447206
1692,307,-5016,447206
2057,498,-5245,447206
1802,-244,-5276,447207
1733,44,-5255,447207
1704,-1,-5318,447207
1793,146,-5461,447207
1763,285,-5295,447207
2188,656,-5476,447205
1840,-185,-5002,447206
1690,-36,-5215,447207
1784,44,-5228,447207
1597,333,-5383,447206
1753,52,-5292,447207
1800,427,-5121,447206
1731,-182,-5195,447205
1653,-226,-4937,447204
1831,439,-4900,447207
1537,-172,-5338,447207
1659,-97,-5353,447207
1940,156,-5438,447206
1551,-224,-5461,447205
1861,-716,-5642,447204
1771,-352,-5227,447206
1424,212,-5540,447206
1515,-82,-5219,447206
1962,408,-4688,447205
556,-56,-5959,447201
1592,-23,-5372,447207
1883,439,-5071,447205
1270,-248,-5244,447205
1603,7,-5263,447207
1472,-14,-5839,447206
1963,191,-5260,447206
1855,235,-5324,447207
1814,177,-5271,447207
1328,103,-5415,447206
1654,-109,-5417,447207
1709,224,-5140,447206
1880,103,-5214,447207
1629,49,-5180,447206
1784,46,-5268,447207
1832,60,-5253,447207
1612,-339,-5271,447207
1726,-154,-5240,447207
1759,19,-5299,447207
1816,-15,-5272,447207
1771,-295,-5006,447207
1771,-4,-5267,447207
1882,267,-5384,447207
1769,-125,-4833,447206
1769,-125,-4833,447206
1848,-179,-5257,447207
1796,435,-5288,447206
1948,539,-5434,447205
1705,-59,-5328,447207
1799,-295,-5282,447207
1725,-4,-5255,447207
1669,-532,-5532,447205
1737,71,-5370,447207
1768,83,-5252,447207
1788,10,-5253,447207
1459,384,-5243,447206
1563,23,-5258,447207
1681,121,-5290,447207
1785,-216,-5306,447207
1696,23,-5257,447207
1675,44,-5261,447207
1351,-106,-5283,447206
1510,233,-5239,447206
1687,8,-5261,447207
1530,-255,-5375,447203
1808,-84,-5311,447207
1824,91,-5251,447206
1517,150,-5370,447205
