994255,994275,994255,994255,994234,994255,994255,1581246,1581246,1581249,1581246,1581246,1581243,1581246,-51887,-51887,-51886,-51594,-51887,-51887,-52179
994194,994214,994194,994194,994173,994194,994194,1578501,1578501,1578506,1578501,1578501,1578496,1578501,-56041,-56041,-56041,-55749,-56041,-56041,-56333
994012,994032,994012,994012,993991,994012,994012,1578056,1578056,1578058,1578056,1578056,1578054,1578056,-60173,-60173,-60174,-59881,-60173,-60173,-60465
993900,993921,993900,993900,993880,993900,993900,1576407,1576407,1576413,1576407,1576407,1576401,1576407,-64314,-64314,-64315,-64022,-64314,-64313,-64606
993835,993855,993835,993835,993814,993835,993835,1574662,1574662,1574664,1574662,1574662,1574661,1574662,-68399,-68399,-68400,-68107,-68399,-68398,-68691
993828,993849,993828,993828,993807,993828,993828,1573851,1573851,1573856,1573851,1573852,1573846,1573851,-72477,-72477,-72477,-72185,-72477,-72477,-72769
993785,993805,993785,993785,993764,993785,993785,1571880,1571880,1571884,1571880,1571880,1571876,1571880,-76536,-76536,-76536,-76244,-76536,-76536,-76828
993725,993745,993725,993725,993704,993725,993725,1569962,1569962,1569965,1569962,1569962,1569960,1569962,-80555,-80555,-80555,-80263,-80555,-80555,-80847
993709,993730,993709,993709,993688,993709,993709,1567266,1567267,1567278,1567266,1567265,1567254,1567266,-84539,-84539,-84538,-84247,-84539,-84539,-84831
993899,993919,993899,993899,993880,993899,993899,1567302,1567303,1567306,1567302,1567302,1567298,1567302,-88519,-88519,-88519,-88227,-88519,-88519,-88811
993843,993863,993843,993843,993822,993843,993843,1566267,1566267,1566269,1566267,1566266,1566265,1566267,-92491,-92491,-92491,-92199,-92491,-92491,-92783
994128,994147,994128,994128,994110,994128,994128,1566985,1566982,1566989,1566985,1566987,1566980,1566985,-96446,-96446,-96446,-96154,-96446,-96446,-96738
994150,994170,994150,994150,994130,994150,994150,1566060,1566059,1566062,1566060,1566060,1566057,1566060,-100378,-100378,-100378,-100086,-100378,-100378,-100671
994313,994332,994313,994313,994293,994313,994313,1563232,1563233,1563232,1563232,1563231,1563231,1563232,-104288,-104288,-104289,-103996,-104288,-104287,-104580
994253,994273,994253,994253,994232,994253,994253,1561544,1561544,1561548,1561544,1561544,1561540,1561544,-108176,-108176,-108176,-107884,-108176,-108176,-108468
994148,994168,994148,994148,994127,994148,994148,1561037,1561037,1561041,1561037,1561036,1561032,1561037,-112061,-112061,-112060,-111769,-112061,-112062,-112353
994004,994025,994004,994004,993983,994004,994004,1559181,1559180,1559184,1559181,1559181,1559178,1559181,-115879,-115879,-115878,-115587,-115879,-115881,-116172
994203,994223,994203,994203,994184,994203,994203,1560627,1560628,1560628,1560627,1560627,1560626,1560627,-119725,-119725,-119724,-119433,-119725,-119725,-120017
994129,994150,994129,994129,994109,994129,994129,1560428,1560428,1560431,1560428,1560428,1560425,1560428,-123522,-123522,-123523,-123230,-123522,-123522,-123814
993885,993905,993885,993885,993865,993885,993885,1558160,1558162,1558167,1558160,1558159,1558153,1558160,-127306,-127306,-127306,-127014,-127306,-127306,-127598
993950,993971,993950,993950,993930,993950,993950,1556698,1556699,1556701,1556698,1556698,1556696,1556698,-131085,-131085,-131085,-130793,-131085,-131085,-131377
993897,993918,993897,993897,993877,993897,993897,1556632,1556632,1556641,1556632,1556631,1556622,1556632,-134834,-134834,-134834,-134542,-134834,-134835,-135126
993831,993852,993831,993831,993811,993831,993831,1557186,1557186,1557188,1557186,1557186,1557183,1557186,-138569,-138569,-138569,-138277,-138569,-138569,-138861
993767,993787,993767,993767,993746,993767,993767,1554931,1554931,1554933,1554931,1554931,1554929,1554931,-142285,-142285,-142285,-141993,-142285,-142285,-142577
993782,993803,993782,993782,993762,993782,993782,1553689,1553689,1553693,1553689,1553688,1553684,1553689,-145979,-145979,-145979,-145687,-145979,-145979,-146271
993712,993733,993712,993712,993691,993712,993712,1553480,1553480,1553489,1553480,1553479,1553470,1553480,-149655,-149655,-149656,-149363,-149655,-149655,-149948
993396,993416,993396,993396,993377,993396,993396,1553304,1553307,1553313,1553304,1553301,1553296,1553304,-153315,-153315,-153316,-153023,-153315,-153315,-153608
993399,993419,993399,993399,993379,993399,993399,1551683,1551684,1551685,1551683,1551682,1551681,1551683,-156965,-156965,-156965,-156673,-156965,-156965,-157257
993525,993545,993525,993525,993505,993525,993525,1552277,1552276,1552281,1552277,1552278,1552273,1552277,-160635,-160634,-160634,-160342,-160635,-160635,-160927
993472,993493,993472,993472,993452,993472,993472,1550253,1550253,1550258,1550253,1550254,1550249,1550253,-164294,-164294,-164292,-164002,-164294,-164295,-164586
993349,993369,993349,993349,993328,993349,993349,1550955,1550954,1550963,1550955,1550956,1550947,1550955,-167942,-167942,-167943,-167649,-167942,-167940,-168234
993332,993352,993332,993332,993311,993332,993332,1549031,1549031,1549039,1549031,1549030,1549022,1549031,-171484,-171485,-171483,-171192,-171484,-171485,-171777
993293,993313,993293,993293,993272,993293,993293,1549813,1549813,1549822,1549813,1549814,1549804,1549813,-175036,-175036,-175036,-174743,-175036,-175035,-175328
993176,993197,993176,993176,993156,993176,993176,1547489,1547489,1547491,1547489,1547489,1547487,1547489,-178619,-178619,-178620,-178326,-178619,-178617,-178911
993292,993313,993292,993292,993272,993292,993292,1548109,1548105,1548126,1548109,1548112,1548091,1548109,-182179,-182179,-182179,-181887,-182179,-182180,-182472
993273,993294,993273,993273,993252,993273,993273,1546051,1546052,1546068,1546051,1546051,1546035,1546051,-185753,-185753,-185755,-185461,-185753,-185751,-186045
993171,993192,993171,993171,993151,993171,993171,1546534,1546534,1546536,1546534,1546534,1546532,1546534,-189251,-189251,-189253,-188959,-189251,-189250,-189543
993108,993129,993108,993108,993088,993108,993108,1544682,1544682,1544684,1544682,1544682,1544680,1544682,-192738,-192738,-192738,-192446,-192738,-192738,-193030
993105,993126,993105,993105,993084,993105,993105,1546783,1546784,1546791,1546783,1546783,1546776,1546783,-196214,-196214,-196214,-195922,-196214,-196214,-196506
992989,993009,992989,992989,992968,992989,992989,1545581,1545581,1545591,1545581,1545582,1545572,1545581,-199644,-199644,-199644,-199352,-199644,-199645,-199937
992796,992816,992796,992796,992775,992796,992796,1545782,1545784,1545794,1545782,1545780,1545770,1545782,-203117,-203117,-203116,-202825,-203117,-203118,-203409
992671,992691,992671,992671,992650,992671,992671,1546565,1546565,1546568,1546565,1546564,1546561,1546565,-206584,-206584,-206583,-206292,-206584,-206585,-206876
992740,992760,992740,992740,992719,992740,992740,1546018,1546017,1546022,1546018,1546019,1546014,1546018,-210004,-210004,-210003,-209712,-210004,-210004,-210296
992734,992754,992734,992734,992713,992734,992734,1544170,1544170,1544176,1544170,1544169,1544163,1544170,-213374,-213374,-213373,-213081,-213373,-213374,-213666
992619,992640,992619,992619,992599,992619,992619,1544584,1544584,1544586,1544584,1544584,1544582,1544584,-216763,-216763,-216762,-216470,-216763,-216763,-217055
992436,992456,992436,992436,992415,992436,992436,1544838,1544838,1544841,1544838,1544838,1544836,1544838,-220168,-220168,-220168,-219876,-220168,-220168,-220460
992383,992403,992383,992383,992362,992383,992383,1543491,1543491,1543498,1543491,1543491,1543484,1543491,-223489,-223489,-223489,-223197,-223489,-223490,-223781
992441,992461,992441,992441,992420,992441,992441,1543104,1543104,1543105,1543104,1543105,1543103,1543104,-226806,-226806,-226806,-226514,-226806,-226806,-227098
992444,992465,992444,992444,992424,992444,992444,1542855,1542855,1542857,1542855,1542855,1542854,1542855,-230141,-230141,-230141,-229849,-230141,-230141,-230433
992309,992329,992309,992309,992288,992309,992309,1543801,1543801,1543802,1543801,1543801,1543799,1543801,-233518,-233518,-233519,-233226,-233518,-233516,-233810
992443,992463,992443,992443,992422,992443,992443,1543114,1543115,1543117,1543114,1543113,1543111,1543114,-236799,-236800,-236799,-236507,-236799,-236799,-237092
992362,992383,992362,992362,992341,992362,992362,1543958,1543958,1543960,1543958,1543958,1543957,1543958,-240089,-240089,-240089,-239796,-240089,-240088,-240381
992322,992343,992322,992322,992301,992322,992322,1544425,1544426,1544427,1544425,1544425,1544424,1544425,-243337,-243337,-243337,-243045,-243337,-243338,-243630
992435,992455,992435,992435,992415,992435,992435,1543595,1543595,1543597,1543595,1543595,1543594,1543595,-246621,-246621,-246621,-246329,-246622,-246622,-246914
992178,992198,992178,992178,992158,992178,992178,1544635,1544638,1544647,1544635,1544633,1544624,1544635,-249861,-249861,-249861,-249569,-249862,-249862,-250154
992173,992193,992173,992173,992152,992173,992173,1540822,1540823,1540836,1540822,1540820,1540807,1540822,-253082,-253082,-253083,-252790,-253082,-253081,-253374
991995,992015,991995,991995,991974,991995,991995,1540688,1540689,1540692,1540688,1540687,1540684,1540688,-256223,-256223,-256226,-255931,-256223,-256220,-256515
991995,992015,991995,991995,991974,991995,991995,1540688,1540689,1540692,1540688,1540687,1540684,1540688,-256223,-256223,-256226,-255931,-256223,-256220,-256515
991693,991712,991693,991693,991673,991693,991693,1540026,1540023,1540036,1540026,1540029,1540016,1540026,-259435,-259435,-259436,-259143,-259435,-259434,-259727
991745,991766,991745,991745,991725,991745,991745,1540028,1540028,1540032,1540028,1540028,1540024,1540028,-262573,-262573,-262573,-262281,-262573,-262573,-262865
991691,991711,991691,991691,991670,991691,991691,1539896,1539896,1539898,1539896,1539896,1539894,1539896,-265654,-265654,-265651,-265361,-265654,-265656,-265946
991765,991786,991765,991765,991745,991765,991765,1539337,1539335,1539351,1539337,1539340,1539323,1539337,-268884,-268884,-268882,-268592,-268885,-268887,-269176
991511,991531,991511,991511,991491,991511,991511,1538614,1538614,1538618,1538614,1538614,1538611,1538614,-271969,-271969,-271968,-271677,-271969,-271970,-272261
991270,991290,991270,991270,991250,991270,991270,1537792,1537789,1537802,1537792,1537794,1537782,1537792,-275120,-275120,-275121,-274828,-275120,-275119,-275412
991141,991162,991141,991141,991121,991141,991141,1537550,1537550,1537552,1537550,1537551,1537549,1537550,-278210,-278210,-278210,-277918,-278210,-278210,-278502
990978,990999,990978,990978,990958,990978,990978,1537526,1537526,1537527,1537526,1537526,1537524,1537526,-281237,-281236,-281237,-280944,-281237,-281236,-281529
991037,991057,991037,991037,991016,991037,991037,1537501,1537501,1537503,1537501,1537501,1537500,1537501,-284332,-284332,-284332,-284040,-284332,-284332,-284624
