test_circle,input 1,input 2,input 3,input 4,input 5,input 6,input 7,input 8,input 9,input 10,input 11,input 12,input 13,input 14,input 15,input 16,input 17,input 18,input 19,input 20,input 21,summation 1, summation 2, summation 3,result 1, result 2, result 3
73,9915657,9915864,9915657,9915657,9915450,9915657,9915657,15443172,15443172,15443177,15443172,15443172,15443168,15443172,-1917428,-1917428,-1917428,-1914515,-1917428,-1917428,-1920341,9915657,15443672,-1917428,0.991565704346,1.544367194176,-0.191742792726,
74,9915099,9915306,9915099,9915099,9914892,9915099,9915099,15430066,15430066,15430071,15430066,15430066,15430062,15430066,-1945212,-1945212,-1945212,-1942298,-1945212,-1945212,-1948125,9915099,15430566,-1944712,0.991509914398,1.543056607246,-0.194471195340,
75,9914540,9914747,9914540,9914540,9914333,9914540,9914540,15444442,15444442,15444447,15444442,15444442,15444437,15444442,-1972945,-1972945,-1972945,-1970032,-1972945,-1972945,-1975858,9914540,15444442,-1972945,0.991454005241,1.544444203377,-0.197294503450,
76,9913980,9914187,9913980,9913980,9913773,9913980,9913980,15448450,15448450,15448455,15448450,15448450,15448445,15448450,-2000583,-2000583,-2000583,-1997669,-2000583,-2000583,-2003496,9913980,15448450,-2000083,0.991397976875,1.544844985008,-0.200008302927,
77,9913422,9913629,9913422,9913422,9913215,9913422,9913422,15431538,15431538,15431543,15431538,15431538,15431533,15431538,-2028080,-2028080,-2028080,-2025166,-2028080,-2028080,-2030993,9913422,15431538,-2027580,0.991342186928,1.543153762817,-0.202757999301,
78,9912862,9913069,9912862,9912862,9912655,9912862,9912862,15444852,15444852,15444857,15444852,15444852,15444847,15444852,-2055527,-2055527,-2055527,-2052613,-2055527,-2055527,-2058440,9912862,15444852,-2055027,0.991286218166,1.544485211372,-0.205502703786,
79,9912306,9912513,9912306,9912306,9912099,9912306,9912306,15394476,15394476,15394480,15394476,15394476,15394471,15394476,-2082746,-2082746,-2082746,-2079833,-2082746,-2082746,-2085660,9912306,15393976,-2083246,0.991230607033,1.539397597313,-0.208324596286,
80,9911748,9911955,9911748,9911748,9911541,9911748,9911748,15398459,15398459,15398464,15398459,15398459,15398454,15398459,-2109917,-2109917,-2109917,-2107003,-2109917,-2109917,-2112830,9911748,15398459,-2109417,0.991174817085,1.539845943451,-0.210941702127,
81,9911190,9911397,9911190,9911190,9910983,9911190,9911190,15399570,15399570,15399575,15399570,15399570,15399565,15399570,-2136994,-2136994,-2136994,-2134080,-2136994,-2136994,-2139907,9911190,15399570,-2136494,0.991119027138,1.539957046509,-0.213649407029,
82,9910632,9910839,9910632,9910632,9910425,9910632,9910632,15417909,15417909,15417914,15417909,15417909,15417904,15417909,-2164022,-2164022,-2164022,-2161108,-2164022,-2164022,-2166935,9910632,15417909,-2163522,0.991063177586,1.541790843010,-0.216352194548,
