test_circle,input 1,input 1,,input 2,input 2,,input 3,input 3,,input 4,input 4,,input 5,input 5,,input 6,input 6,,input 7,input 7,,input 8,input 8,,input 9,input 9,,input 10,input 10,,input 11,input 11,,input 12,input 12,,input 13,input 13,,input 14,input 14,,input 15,input 15,,input 16,input 16,,input 17,input 17,,input 18,input 18,,input 19,input 19,,input 20,input 20,,input 21,input 21,,summation 1,summation 1,, summation 2, summation 2,, summation 3, summation 3,
,PC,BMS,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff
24,9943115,9943115,0,9943322,9943322,0,9943115,9943115,0,9943115,9943115,0,9942908,9942908,0,9943115,9943115,0,9943115,9943115,0,15808618,15808618,0,15808618,15808618,0,15808623,15808623,0,15808618,15808618,0,15808618,15808618,0,15808613,15808613,0,15808618,15808618,0,-418294,-418294,0,-418294,-418294,0,-418294,-418294,0,-415381,-415381,0,-418294,-418294,0,-418294,-418294,0,-421207,-421207,0,9943115,9943115,0,15808618,15808618,0,-418294,-418294,0
25,9942551,9942551,0,9942758,9942758,0,9942551,9942551,0,9942551,9942551,0,9942344,9942344,0,9942551,9942551,0,9942551,9942551,0,15766343,15766343,0,15766343,15766343,0,15766348,15766348,0,15766343,15766343,0,15766343,15766343,0,15766338,15766338,0,15766343,15766343,0,-451940,-451940,0,-451940,-451940,0,-451940,-451940,0,-449027,-449027,0,-451940,-451940,0,-451940,-451940,0,-454853,-454853,0,9942551,9942551,0,15766343,15766343,0,-451940,-451940,0
26,9941985,9941985,0,9942192,9942192,0,9941985,9941985,0,9941985,9941985,0,9941778,9941778,0,9941985,9941985,0,9941985,9941985,0,15772586,15772586,0,15772586,15772586,0,15772591,15772591,0,15772586,15772586,0,15772586,15772586,0,15772581,15772581,0,15772586,15772586,0,-485522,-485522,0,-485522,-485522,0,-485522,-485522,0,-482609,-482609,0,-485522,-485522,0,-485522,-485522,0,-488435,-488435,0,9941985,9941985,0,15772586,15772586,0,-485522,-485522,0
27,9941421,9941421,0,9941628,9941628,0,9941421,9941421,0,9941421,9941421,0,9941214,9941214,0,9941421,9941421,0,9941421,9941421,0,15756297,15756297,0,15756297,15756297,0,15756302,15756302,0,15756297,15756297,0,15756297,15756297,0,15756292,15756292,0,15756297,15756297,0,-518932,-518932,0,-518932,-518932,0,-518932,-518932,0,-516019,-516019,0,-518932,-518932,0,-518932,-518932,0,-521845,-521845,0,9941421,9941421,0,15756297,15756297,0,-518932,-518932,0
28,9940857,9940857,0,9941064,9941064,0,9940857,9940857,0,9940857,9940857,0,9940650,9940650,0,9940857,9940857,0,9940857,9940857,0,15733726,15733726,0,15733726,15733726,0,15733731,15733731,0,15733726,15733726,0,15733726,15733726,0,15733721,15733721,0,15733726,15733726,0,-552171,-552171,0,-552171,-552171,0,-552171,-552171,0,-549258,-549258,0,-552171,-552171,0,-552171,-552171,0,-555084,-555084,0,9940857,9940857,0,15733726,15733726,0,-552171,-552171,0
29,9940293,9940293,0,9940500,9940500,0,9940293,9940293,0,9940293,9940293,0,9940086,9940086,0,9940293,9940293,0,9940293,9940293,0,15727433,15727433,0,15727433,15727433,0,15727437,15727437,0,15727433,15727433,0,15727433,15727433,0,15727428,15727428,0,15727433,15727433,0,-585294,-585294,0,-585294,-585294,0,-585294,-585294,0,-582381,-582381,0,-585294,-585294,0,-585294,-585294,0,-588207,-588207,0,9940293,9940293,0,15726933,15726933,0,-585294,-585294,0
30,9939729,9939729,0,9939936,9939936,0,9939729,9939729,0,9939729,9939729,0,9939522,9939522,0,9939729,9939729,0,9939729,9939729,0,15707648,15707648,0,15707648,15707648,0,15707653,15707653,0,15707648,15707648,0,15707648,15707648,0,15707643,15707643,0,15707648,15707648,0,-618247,-618247,0,-618247,-618247,0,-618247,-618247,0,-615333,-615333,0,-618247,-618247,0,-618247,-618247,0,-621160,-621160,0,9939729,9939729,0,15707648,15707648,0,-617747,-617747,0
31,9939167,9939167,0,9939374,9939374,0,9939167,9939167,0,9939167,9939167,0,9938959,9938959,0,9939167,9939167,0,9939167,9939167,0,15684103,15684103,0,15684103,15684103,0,15684107,15684107,0,15684103,15684103,0,15684103,15684103,0,15684098,15684098,0,15684103,15684103,0,-651032,-651032,0,-651032,-651032,0,-651032,-651032,0,-648119,-648119,0,-651032,-651032,0,-651032,-651032,0,-653945,-653945,0,9938667,9938667,0,15683603,15683603,0,-651032,-651032,0
32,9938605,9938605,0,9938812,9938812,0,9938605,9938605,0,9938605,9938605,0,9938398,9938398,0,9938605,9938605,0,9938605,9938605,0,15659508,15659508,0,15659508,15659508,0,15659513,15659513,0,15659508,15659508,0,15659508,15659508,0,15659503,15659503,0,15659508,15659508,0,-683651,-683651,0,-683651,-683651,0,-683651,-683651,0,-680737,-680737,0,-683651,-683651,0,-683651,-683651,0,-686564,-686564,0,9938605,9938605,0,15659508,15659508,0,-683151,-683151,0
33,9938042,9938042,0,9938249,9938249,0,9938042,9938042,0,9938042,9938042,0,9937835,9937835,0,9938042,9938042,0,9938042,9938042,0,15670680,15670680,0,15670680,15670680,0,15670685,15670685,0,15670680,15670680,0,15670680,15670680,0,15670675,15670675,0,15670680,15670680,0,-716206,-716206,0,-716206,-716206,0,-716206,-716206,0,-713293,-713293,0,-716206,-716206,0,-716206,-716206,0,-719119,-719119,0,9938042,9938042,0,15670680,15670680,0,-716206,-716206,0
