test_circle,C 1,C 2,C 3,sigma_points 1,sigma_points 2,sigma_points 3,sigma_points 4,sigma_points 5,sigma_points 6,sigma_points 7,sigma_points 8,sigma_points 9,sigma_points 10,sigma_points 11,sigma_points 12,sigma_points 13,sigma_points 14,sigma_points 15,sigma_points 16,sigma_points 17,sigma_points 18,sigma_points 19,sigma_points 20,sigma_points 21,D 1,D 2,observer 1,observer 2,normalized sigma_measurement 1,normalized sigma_measurement 2,normalized sigma_measurement 3,normalized sigma_measurement 4,normalized sigma_measurement 5,normalized sigma_measurement 6,normalized sigma_measurement 7,
64,4165309,-30300,-61999,993105,993126,993105,993105,993084,993105,993105,1546783,1546784,1546791,1546783,1546783,1546776,1546783,-196214,-196214,-196214,-195922,-196214,-196214,-196506,-82000,-2499,1544999,1000000,3972697,3972784,3972697,3972679,3972610,3972697,3972715,
65,4165407,-30300,-61999,992989,993009,992989,992989,992968,992989,992989,1545581,1545581,1545591,1545581,1545582,1545572,1545581,-199644,-199644,-199644,-199352,-199644,-199645,-199937,-82000,-2499,1544999,1000000,3972560,3972644,3972560,3972542,3972473,3972561,3972579,
66,4165569,-30300,-61999,992796,992816,992796,992796,992775,992796,992796,1545782,1545784,1545794,1545782,1545780,1545770,1545782,-203117,-203117,-203116,-202825,-203117,-203118,-203409,-82000,-2499,1547500,1000000,3971921,3972005,3971921,3971903,3971834,3971922,3971940,
67,4165674,-30300,-61999,992671,992691,992671,992671,992650,992671,992671,1546565,1546565,1546568,1546565,1546564,1546561,1546565,-206584,-206584,-206583,-206292,-206584,-206585,-206876,-82000,-2499,1544999,1000000,3971902,3971985,3971901,3971884,3971814,3971902,3971920,
68,4165616,-30300,-61999,992740,992760,992740,992740,992719,992740,992740,1546018,1546017,1546022,1546018,1546019,1546014,1546018,-210004,-210004,-210003,-209712,-210004,-210004,-210296,-82000,-2499,1542500,1000000,3972565,3972648,3972565,3972547,3972477,3972565,3972583,
69,4165621,-30300,-61999,992734,992754,992734,992734,992713,992734,992734,1544170,1544170,1544176,1544170,1544169,1544163,1544170,-213374,-213374,-213373,-213081,-213373,-213374,-213666,-82000,-2499,1544999,1000000,3972605,3972688,3972604,3972587,3972517,3972605,3972623,
70,4165717,-30300,-61999,992619,992640,992619,992619,992599,992619,992619,1544584,1544584,1544586,1544584,1544584,1544582,1544584,-216763,-216763,-216762,-216470,-216763,-216763,-217055,-82000,-2499,1544999,1000000,3972418,3972506,3972418,3972400,3972335,3972419,3972436,
71,4165872,-30300,-61999,992436,992456,992436,992436,992415,992436,992436,1544838,1544838,1544841,1544838,1544838,1544836,1544838,-220168,-220168,-220168,-219876,-220168,-220168,-220460,-82000,-2499,1542500,1000000,3972218,3972302,3972218,3972200,3972131,3972218,3972237,
72,4165917,-30300,-61999,992383,992403,992383,992383,992362,992383,992383,1543491,1543491,1543498,1543491,1543491,1543484,1543491,-223489,-223489,-223489,-223197,-223489,-223490,-223781,-82000,-2499,1542500,1000000,3972289,3972372,3972289,3972271,3972201,3972289,3972307,
73,4165868,-30300,-61999,992441,992461,992441,992441,992420,992441,992441,1543104,1543104,1543105,1543104,1543105,1543103,1543104,-226806,-226806,-226806,-226514,-226806,-226806,-227098,-82000,-2499,1542500,1000000,3972699,3972783,3972699,3972681,3972612,3972700,3972717,
